Brand,Name,Estate,District,Elevation MASL,Source Classification,Varietals,Fermentation,Process,Roast,Flavour Profile,Notes,Price/100 gms,Link,Sample Pack
Blue Tokai Coffee,St Joseph Estate|Palani Hills,St Joseph Estate,"Dindigul, Tamilnadu",1500,Single Estate,Chandragiri SLN - 13,,Washed,Medium Dark,Clove • Grapefruit • Toffee,,₹224.00,LINK,Yes
Blue Tokai Coffee,Baarbara Estate,Baarbara Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,SLN - 795,,Washed,Medium Dark,Dark Chocolate • Molasses • Walnut,,₹224.00,LINK,Yes
Blue Tokai Coffee,Attikan Estate|BR Hills,Attikan Estate,"Chamrajanagar, Karnataka",1400,Single Estate,SLN - 9,,Washed,Medium Dark,Dark Chocolate • Figs • Roasted Almond,"During harvest season, three rounds of handpicking the ripe fruits take place.",₹224.00,LINK,Yes
Blue Tokai Coffee,Monsoon MalabarAA|Hoysala Estate,Hoysala Estate,"Chikkamagaluru, Karnataka",1000,Single Estate,SLN - 795,,Washed + Monsooned,Medium Dark,Cocoa Nibs • Nutty • Raisins,The green beans are monsooned when left to interact with monsoon winds,₹224.00,LINK,Yes
Blue Tokai Coffee,Dhak Blend,,"Chikkamagaluru, Karnataka",1000,Blend,"SLN - 9, SLN - 795",,Natural,Dark,Cocoa • Dark Chocolate • Fruit Jam,,₹208.00,LINK,Yes
Blue Tokai Coffee,Amaltas Blend|Nelliampathi|Servarayan Hills,,"Palakkad Kerala | Salem, Tamilnadu",1000-1400,Blend,SLN - 9,,Natural + Washed,Light,Blueberry • Fruity • Milk Chocolate,,₹208.00,LINK,Yes
Bombay Island Coffee Company,Mysore Nuggets Extra Bold,,,,,,,,Dark,Dark Chocolate • Nuts • Spice,,₹240.00,LINK,Yes
Bombay Island Coffee Company,Vienna Roast,,"Chikkamagaluru, Karnataka",1000,,,,Washed,Dark,Dark Chocolate,,₹240.00,LINK,Yes
Bombay Island Coffee Company,Thogarihunkal Estate,Thogarihunkal,"Chikkamagaluru, Karnataka",1150,Single Estate,Arabica,,Washed,Medium,Candy • Citrus,,₹240.00,LINK,Yes
Bombay Island Coffee Company,Bynemara Estate,Bynemara Estate,"Chikkamagaluru, Karnataka",1050,Single Estate,Arabica,,Washed,Medium Dark,Chocolate Nut • Toffee,,₹240.00,LINK,Yes
Bombay Island Coffee Company,Community Blend,,,,,,,,Dark,Dark Chocolate,,₹220.00,LINK,Yes
Bombay Island Coffee Company,Breakfast Blend,,"Chikkamagaluru, Karnataka",1000,,Arabica,,Natural,Medium,Caramel • Stone Fruits,,₹220.00,LINK,Yes
Bombay Island Coffee Company,Full City Roast,,,,,Arabica,,,Medium Dark,Gooseberry • Molasses • Roasted Hazelnuts,,₹220.00,LINK,Yes
Bombay Island Coffee Company,Espresso Blend,,,,,,,,Medium Dark,Caramel • Cocoa • Nut,,₹220.00,LINK,Yes
Boojee,Ratnagiri Estate Estate|Jasmine Kissed Cranberry,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1356,Microlot,,Carbonic,Natural,Omni Roast,Cranberries • Malic Acid • Raspberries,"Carbonic Fermentation, Dried for 30 days",₹398.00,LINK,No
Boojee,Boojee Medium Dark Roast|Baarbara Estate,Baarbara Estate,"Chikkamagaluru, Karnataka",1060,Single Estate,,,,Medium Dark,Caramelised Nuts • Figs • Prunes,,₹358.00,LINK,Yes
Boojee,Boojee Vienna Roast|Baarbara Estate,Baarbara Estate,"Chikkamagaluru, Karnataka",1060,Single Estate,,,,Vienna Roast,Baker's Chocolate • Burnt Caramel • Roasted Almonds,,₹318.00,LINK,Yes
Broot,Jungle Jam,,"Chikkamagaluru, Karnataka",1000-1250,,SLN - 795,,Natural,Light,Date • Jackfruit • Raisin • Tropical Fruit,,₹500.00,LINK,No
Broot,Cultured 42,Kerehaklu Estate,"Chikkamagaluru, Karnataka",1200,Single Estate,SLN - 9,Anaerobic Inoculation,Washed,Light,Caramel • Citrus Peel • Green Apple • Lime Zest,"42 hours of controlled anoxic fermentation, guided through selective inoculation",₹460.00,LINK,No
Broot,Brute Force,,"Chikkamagaluru, Karnataka",,Blend,,,,Dark,Burnt Caramel • Hazelnut • Whiskey,,₹390.00,LINK,Yes
Broot,Ratnagiri Estate Natural Cut,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1300,Single Estate,SLN - 9,,Natural,Medium,Berry • Red Fruits,,₹360.00,LINK,No
Broot,Ratnagiri Estate Washed Cut,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1300,Single Estate,SLN - 9,,Washed,Medium,Citrus • Dark Chocolate,,₹360.00,LINK,No
Broot,Barbara's Bakery,Baarbara Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,SLN - 795,,Washed,Medium Dark,Caramel • Cookie,,₹358.00,LINK,Yes
Broot,Golden Titan,,"Chikkamagaluru, Karnataka",,Blend,,,,Medium Dark,Caramel • Chocolate • Toffee,,₹356.00,LINK,Yes
Broot,Dark Honey,Unnaki Estate,"Chikkamagaluru, Karnataka",1130-1370,Single Estate,SLN - 795,,Honey,Light Medium,Berry • Honeyed Apricot • Stone Fruit,,₹350.00,LINK,Yes
Broot,House No. 02,,"Chikkamagaluru, Karnataka",,Blend,,,,Medium Dark,Chocolate • Cocoa,,₹332.00,LINK,No
Broot,Harbor Malabar,,"Chikkamagaluru, Karnataka",,,SLN - 795,,Monsooned,Medium Dark,Cocoa • Toasted Nuts,,₹300.00,LINK,Yes
Broot,Velvet Harmony,,"Chikkamagaluru, Karnataka",,Blend,85% Arabica + 15% Robusta,,Natural + Washed,Medium Dark,Brown Sugar • Cocoa • Nuts,,₹292.00,LINK,Yes
Broot,Pure Elegance,,"Chikkamagaluru, Karnataka",,,SLN - 795,,Washed,Medium Dark,Caramel,,₹292.00,LINK,Yes
Broot,Grindstone,,"Chikkamagaluru, Karnataka",,Blend,"Robusta SLN - 274, SLN - 9, SLN - 795",,Washed,Medium Dark,Dark Chocolate • Jaggery • Toasted Nuts,,₹220.00,LINK,No
Broot,Standard House,,,,Blend,,,,Custom,Caramel • Chocolate,,₹150.00,LINK,No
Caarabi,Rum Barrel Aged,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1300,Single Estate,SLN - 795,Anaerobic,Aged,Light Medium,Caramel • Oak • Rum • Vanilla,The green coffee spends three months aging in premium rum barrels,₹875.00,LINK,No
Caarabi,Whiskey Barrel Aged,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1300,Microlot,Cauvery,,Natural + Aged,Medium,Berry Compote • Caramel • Malt,Naturally processed beans are aged in emptied single malt whiskey barrels for 30 days,₹875.00,LINK,No
Caarabi,Ratnagiri Estate Estate Yeast Carbonic Naturals,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1300,Microlot,Arabica,Carbonic Inoculation,Natural,Light,Lemon Peel • Mulberry • Nougat • Red Grapes,,₹675.00,LINK,No
Caarabi,YC Culture Naturals - Ratnagiri Estate Estate,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1300,Microlot,,Anaerobic Inoculation,Natural,Light,Banana • Cascara • Jasmine,,₹675.00,LINK,No
Caarabi,Anaerobic Naturals Ammikulavi Estate,Ammikulavi Estate,"Dindigul, Tamilnadu",1400,Microlot,"Catura, SLN - 9, SLN - 795",Anaerobic,Washed,Light Medium,Lemon Verbana • Plum Cake • Strawberry,,₹675.00,LINK,No
Caarabi,Attikan Estate Cultured Naturals,Attikan Estate,"Chamrajanagar, Karnataka",1400,Microlot,SLN - 9,Anaerobic Inoculation,Natural,Light,Black Grapes • Red Wine • Strawberry,,₹625.00,LINK,No
Caarabi,Lab Room Naturals - Ratnagiri Estate Estate,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1300,Microlot,Arabica,,Washed,Light,Black Currants • Clove • Gooseberry • Sour Grape,,₹625.00,LINK,No
Caarabi,Wine Yeast Naturals,Melkodige Estate,"Chikkamagaluru, Karnataka",1250,Microlot,SLN - 5,Anaerobic Inoculation,Natural,Light Medium,Chocolate • Figs • Grapes • Mango,,₹625.00,LINK,No
Caarabi,Nagaland Naturals,Tsiese Estate,"Kohima, Nagaland",1500,Nanolot,"Chandragiri SLN - 13, SLN - 9",Anaerobic,Natural,Light Medium,Apricot • Caramel • Strawberry • Vanilla,,₹550.00,LINK,No
Caarabi,Honey Double Fermentation,Baarbara Estate,"Chikkamagaluru, Karnataka",1400,Microlot,SLN - 795,,Honey + Natural,Light,Caramel • Milk Chocolate • Mulberry • Plum,"Initially, the coffee cherries are fermented whole without depulping, allowing the fruit to impart rich, fruity flavors and aromas. After this natural fermentation stage, the pulp is removed, and the coffee undergoes a secondary fermentation with a layer of mucilage intact, characteristic of the honey process",₹500.00,LINK,No
Caarabi,Cosy AF,"Karadykan Estate, Ram Estate, Ratnagiri Estate Estate","Chikkamagaluru, Karnataka",1050-1300,Blend,Arabica,Anaerobic + Anaerobic Inoculation,Honey + Natural,Medium,Dark Chocolate • Molasses • Toasted Almonds,,₹475.00,LINK,No
Caarabi,Karadykan Dual Fermented Washed,Karadykan Estate,"Chikkamagaluru, Karnataka",1050,Single Estate,Catimor Arabica,,Washed,Medium,Amaretto • Caramel • Milk Chocolate • Pecan,,₹450.00,LINK,No
Caarabi,Ratnagiri Estate Washed AA|Ratnagiri Estate Estate,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1300,Single Estate,Catuai,,Washed,Medium,Black Currants • Milk Chocolate • Toffee,,₹450.00,LINK,No
Caarabi,Chandragiri Washed,Melkodige Estate,"Chikkamagaluru, Karnataka",1250,Single Estate,Chandragiri SLN - 13,,Washed,Medium,Coconut • Gooseberry • Lemon Zest • Milk Chocolate,,₹450.00,LINK,No
Caarabi,Man on Mars,"Baarbara Estate, Gungegiri Estate","Chikkamagaluru, Karnataka",1400,Blend,Arabica,,Washed,Medium,Caramel • Chocolate • Nougat,,₹425.00,LINK,No
Caarabi,French Roast,"Baarbara Estate, Thogarihunkal Estate","Chikkamagaluru, Karnataka",1150-1400,Blend,Arabica,,Honey + Washed,French Roast,,Coffees blended after roasting,₹400.00,LINK,No
Caarabi,Baarbara Washed AA,Baarbara Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,SLN - 795,,Washed,Medium Dark,Black Raisins • Cherry • Milk Chocolate,,₹400.00,LINK,No
Caarabi,Vienna Roast,,"Chikkamagaluru, Karnataka",,Blend,,,Honey + Washed,Vienna Roast,Caramel • Toasted Almonds,,₹400.00,LINK,No
Caarabi,Espresso Sunshine,,"Chikkamagaluru, Karnataka",,Blend,Arabica,,Honey + Washed,Dark,Dark Chocolate • Oak • Vanilla,,₹375.00,LINK,No
Café Handcrafted,Orchardale Estate,Orchardadale,"Salem, Tamilnadu",1520,Single Estate,"Chandragiri SLN - 13, SLN - 9, SLN - 795",,Natural,Medium,Dried Berries • Hazelnuts • Maple,"The flavours are a result of mixing two different processing methods, one half is slow fermented & slow dried to impart deep rich flavours while the other half undergoes shorter fermentation and faster drying to impart brightness and crisp mouthfeel.",₹500.00,LINK,No
Café Handcrafted,Gemblary Anaerobic Naturals,Gemblary,"Salem, Tamilnadu",1410,Blend,Arabica,Anaerobic,Natural,Medium,Apricot • Caramel • Wine,,₹425.00,LINK,No
Café Handcrafted,Salawara Frozen Cherry,Salawara Estate,"Hassan, Karnataka",1130,Single Estate,"Robusta CxR, SLN - 9",Anaerobic Inoculation,Natural,Medium,Green Apple • Plum,,₹425.00,LINK,No
Café Handcrafted,Baarbara Frozen Cherry,Baarbara Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,SLN - 795,"Frozen, Anaerobic",Natural,Medium,Dried Berries • Honey • Red Wine Tannins,,₹425.00,LINK,No
Café Handcrafted,Bison Valley Estate,Bison Estate,"Dindigul, Tamilnadu",1350,Single Estate,SLN - 795,Anaerobic,Natural,Medium,Caramel • Chocolate • Jam Biscuits,,₹425.00,LINK,No
Café Handcrafted,Mooley Manay Estate,Mooley Manay Estate,"Kodagu, Karnataka",1000,Single Estate,SLN - 795,,Natural,Medium,Caramelized Apple • Chocolate • Mixed Berries,,₹425.00,LINK,No
Café Handcrafted,Gowri Estate,Gowri Estate,"Salem, Tamilnadu",1430,Single Estate,Arabica,Anaerobic,Natural,Medium Dark,Caramel • Chocolate • Litchi,,₹425.00,LINK,No
Café Handcrafted,Ratnagiri Estate Estate Yeast Natural,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1300,Single Estate,Catuai,Anaerobic Inoculation,Natural,Light Medium,Apricot • Caramel • Nut Butter,,₹375.00,LINK,No
Café Handcrafted,Liquid Luck,,,,Blend,,,,Medium Dark,Chocolate • Fruit,,₹375.00,LINK,No
Café Handcrafted,Stanmore Estate,Stanmore,"Salem, Tamilnadu",1300,Single Estate,Arabica,,Natural,Medium,Chocolate • Figs • Honey • Nut,,₹325.00,LINK,No
Café Handcrafted,Salawara Anaerobic Naturals,Salawara Estate,"Hassan, Karnataka",1130,Single Estate,"Robusta CxR, SLN - 9",Anaerobic Inoculation,Natural,Medium,Green Apple • Plum,,₹325.00,LINK,No
Coffee Ideas,Salawara Reserve,Salawara Estate,"Hassan, Karnataka",1130,Nanolot,Chandragiri SLN - 13,Cofermentation,Honey,Light,Hazelnut • Mild Spice • Milk Chocolate • Tamarind,Fermented in whiskey barrels,₹400.00,LINK,Yes
Coffee Ideas,Balmaadi Wild,Balmaadi Estate,"Nilgiris, Tamilnadu",1700,Single Estate,"Bourbon, Caturra, Kent, SLN - 795",,Natural,Medium,Dark Chocolate • Sultana Syrup,,₹400.00,LINK,Yes
Coffee Ideas,Mahseer's Hope,Kerehaklu Estate,"Chikkamagaluru, Karnataka",1200,Single Estate,SLN - 6,,Washed,Omni Roast,Chocolate • Citrus • Stone Fruit,,₹400.00,LINK,Yes
Coffee Ideas,Kaveri Espresso,Palani Hills,"Dindigul, Tamilnadu",1200,Blend,"Cauvery, SLN - 9, Chandragiri SLN - 13, SLN - 795, CxR Robusta",,Natural + Washed,City,Cacao • Caramel • Red Fruits • Roasted Nuts • Warm Spices,"85% Arabica, 15% Robusta",₹300.00,LINK,Yes
Coffee Ideas,Malabar Blues,,Karnataka,750-900,Blend,50% Arabica + 50% Robusta,,Natural + Monsooned,Dark,Dark Chocolate • Vanilla,,₹300.00,LINK,Yes
Coffee Ideas,Malabar Monsoon,Hoysala Estate,"Kodagu, Karnataka",750-900,Single Estate,Arabica,,Natural + Monsooned,Light,Malt • Nutty,,₹300.00,LINK,Yes
Coffee Ideas,Julien Peak Forest,Julien Peak,"Salem, Tamilnadu",1200-1500,Single Estate,"Chandragiri SLN - 13, SLN - 795",,Washed,Light,Cinnamon • Citrus • Molasses,,₹300.00,LINK,Yes
Coffee Ideas,Old Kent Vienna,Old Kent Estate,"Kodagu, Karnataka",1100,Blend,"Kent, SLN - 9, Chandragiri SLN - 13, SLN - 795",,Natural + Washed,Vienna Roast,Caramel • Dark Chocolate,,₹300.00,LINK,Yes
Coffee Ideas,Buma Devi Breakfast,,"Wayanad, Kerala",750-900,Blend,50% Arabica + 50% Robusta,,Natural,Dark,Caramel • Dark Chocolate,,₹200.00,LINK,Yes
Coffeeverse,Intense Rum Barrel Aged Coffee,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,Catuai,,Natural + Aged,Medium,Blackberry • Purple Grapes • Vanilla,45 day aging,₹510.00,LINK,No
Coffeeverse,San Ramon,Amruthavarshini Estate,"Chikkamagaluru, Karnataka",1000,Single Estate,San Ramon Arabica,Anaerobic Inoculation,Washed,Light Medium,Bergamot • Caramel • Milk Chocolate,San Ramon Honey is produced using a unique Double Anaerobic fermentation process that involves yeast. It begins with fermenting the whole fruit before moving on to the beans after pulping The beans are then slowly dried under shade for about 25 to 28 days.,₹470.00,LINK,No
Coffeeverse,Praline Symphony,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,Catuai,Anaerobic Inoculation,Natural,Light,Almond • Brown Sugar • Cocoa,"The coffee cherries had a Brix of 25.8 at harvest and were placed in Bio fermenters after floater removal. A unique strain of Saccharomyces yeast and lactic acid bacteria was added, and the coffee fermented for 72 hours in a nitrogen-rich environment. It was then dried on raised beds for 31 days",₹440.00,LINK,No
Coffeeverse,The Lacto Project,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,Hemavathi,Carbonic Inoculation,Natural,Light,Green Grapes • Red Raisins • Sweet Lime,"The cherries had a Brix of 25.9 at harvest and were placed in Bio fermenters after floater removal. They were inoculated with various lab-grown cultures, purged with carbon dioxide, and fermented for 96 hours. After fermentation, the beans were dried slowly on raised beds for 31 days, with constant stirring.",₹440.00,LINK,No
Coffeeverse,Carbonic Candy,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,SLN - 9,Carbonic Inoculation,Natural,Light,Pomegranate • Rambutan • Strawberry Bubblegum,". The cherries, harvested at a Brix of 25.4, were placed in Bio fermenters with added lab culture microbes and lactic acid bacteria for fermentation in a carbon dioxide-rich environment. After fermentation, the coffee was moved to raised beds for slow drying over 29 days with constant stirring.",₹440.00,LINK,No
Coffeeverse,Riverdale N48 Naturals,Riverdale Estate,"Salem, Tamilnadu",1450,Single Estate,SLN - 9,Anaerobic,Natural,Light,Guava • Mulberry • Passionfruit,,₹440.00,LINK,No
Coffeeverse,Microbe Magic,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,Catuai,Anaerobic Inoculation,Washed,Light,Dried Apricot • Muscovado • White Peach,"The coffee cherries, with a Brix of 24.4 at harvest, underwent a 52-hour fermentation in Bio fermenters with added lab culture microbes. After de-pulping and washing, the coffee was slowly dried on raised beds for 23 days with constant stirring.",₹440.00,LINK,No
Coffeeverse,Blossom Washed,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,Catuai,Anaerobic Inoculation,Washed,Light,Java Apple • Litchi • Wild Honey,"This is a 90-hour CULTURE PROCESS washed coffee from the Catuai varietal at our Ratnagiri Estate farm, located at 4,300 feet in the Betamare Patte block. The cherries, with a Brix of 23.2 at harvest, were fermented in stainless-steel fermenters after removing floaters, using a specific strain of yeast and lactic acid bacteria. Following fermentation, they were depulped, washed, and slowly dried on raised beds for 26 days,",₹440.00,LINK,No
Coffeeverse,Hydro Honey,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,Catuai,Thermal Shock,Honey - Dark Room,Light Medium,Apricot • Black Raisin • Honeydew Melon,It undergoes a careful 15-day drying process in a dark room,₹440.00,LINK,No
Coffeeverse,RC-7 Naturals,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,Hemavathi,Anaerobic Inoculation,Natural,Light Medium,Cran-Grape • Dried Pineapple • Red Apple,"The Brix of the coffee cherries was 24.6 when harvested and they were put in the fermenters after floater removal. A strain of lab culture microbes were them introduced in a Nitrogen rich environment and allowed to ferment for 60 hours at 2.2 bar pressure. After removing the coffee from the fermenters, it was directly put on raised beds and dried for 29 days.",₹440.00,LINK,No
Coffeeverse,Thermal Shock,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,SLN - 9,Thermal Shock,Natural,Light Medium,Blackberry • Green Apple Candy • Pear,This particular lot goes through an exciting Thermal Shock Anaerobic Fermentation process in high-tech bio fermenters for 36 hours,₹440.00,LINK,No
Coffeeverse,Flowerette Naturals,Riverdale Estate,"Salem, Tamilnadu",1450,Single Estate,SLN - 9,Cofermentation,Natural,Light Medium,Apricot • Floral • Peach • Red Cherry,Flower Petal cofermentation,₹440.00,LINK,No
Coffeeverse,Red Fruit Naturals,Riverdale Estate,"Salem, Tamilnadu",1450,Single Estate,SLN - 9,Cofermentation + Inoculation,Natural,Light Medium,Fig • Papaya • Raspberry Jam,Cofermented with red fruit and inoculated with wine yeast for 80 hours,₹440.00,LINK,No
Coffeeverse,Champagne Naturals,Riverdale Estate,"Salem, Tamilnadu",1450,Single Estate,SLN - 9,Anaerobic Inoculation,Natural,Light Medium,Dried Plum • Plum • Red Apples,,₹440.00,LINK,No
Coffeeverse,Natural - Dark Rooms,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,Chandragiri SLN - 13,Thermal Shock + Anaerobic Inoculation,Natural - Dark Room,Light Medium,Blackberries • Pink Guava • Red Globe,"Starting with thermal shock applied to the cherries to enhance sugar readiness for fermentation. The cherries are then fermented for 48 hours with lactic acid bacteria (LAB) to ensure balanced acidity and optimal flavor development. After fermentation, they are dried in a dark room for 12 days, minimizing UV degradation and preserving their complexity",₹440.00,LINK,No
Coffeeverse,Culture Process,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,Catuai,Carbonic Inoculation,Natural,Medium,Earl Grey • Marigold • Peach Candy,"This exceptional coffee undergoes an 80-hour CULTURE PROCESS, sourced from the Catuai varietal at our farm, located 4,400 feet high in the Jeri Patte block. After harvesting with a Brix of 25.8, we placed the cherries in stainless-steel fermenters, adding a specific strain of yeast and lactic acid bacteria. The fermentation took place in a carbon dioxide-rich environment, followed by a slow drying process on raised beds over 29 days with constant stirring.",₹440.00,LINK,No
Coffeeverse,Frozen Cherry,Baarbara Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,Arabica,Frozen,Natural,Light Medium,Mixed Berries • Peach • Pomogranate,"Frozen Cherry processing takes inspiration from the wine industry, as whole coffee cherries are fermented and put in a freezer in bags so the sugars accumulate. They are then removed and slow dried on raised beds.",₹430.00,LINK,No
Coffeeverse,Nitrogen Naturals,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,Arabica,Anaerobic Inoculation,Natural,,Mixed Berries • Molasses • Peach,,₹430.00,LINK,No
Coffeeverse,Blossom Naturals,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,Catuai,Anaerobic Inoculation,Natural,,Clover Honey • Floral • Golden Raisins • Litchi,"The cherries, with a Brix of 25.2 at harvest, were fermented for 72 hours with a specific yeast and lactobacillus culture in stainless-steel fermenters. After fermentation, the coffee was dried slowly on raised beds over 29 days with constant stirring.",₹430.00,LINK,No
Coffeeverse,Koraput Honey Black,Koraput Estate,"Koraput, Odisha",1000,Single Estate,Chandragiri SLN - 13,Anaerobic Inoculation,Honey,Light Medium,Apricot • Honeysuckle • Toffee,"The beans are co-fermented with their own sweet pulp using specially selected yeast cultures for 48 hours, enhancing their fruity complexity and natural sweetness. After fermentation, they are dried on raised beds for 21 days in the shade",₹400.00,LINK,No
Coffeeverse,Krishnagiri Honey,Krishnagiri Estate,"Chikkamagaluru, Karnataka",1500,Single Estate,Chandragiri SLN - 13,Anaerobic Inoculation,Honey,Light Medium,Black Raisin • Maple Syrup • Nectar,"A 72-hour sequential fermentation process is employed with yeast, ensuring that each batch captures the full essence of the yeast used. Following this careful fermentation, the beans are patiently dried for 18 days.",₹400.00,LINK,No
Coffeeverse,Lot 89,Karadykan Estate,"Chikkamagaluru, Karnataka",1050,Single Estate,Catimor Arabica,Anaerobic Inoculation,Natural,Light Medium,Green Grape • Jaggery • Maple Syrup,Fermented for 48 hours in an oxygen-free environment with the help of saccharomyces yeast,₹400.00,LINK,No
Coffeeverse,BeWild Canephora,Poomale Estate,"Kodagu, Karnataka",1050,Single Estate,Old Peradeniya Robusta,Anaerobic,Natural,Light Medium,Clove • Dark Chocolate • Roasted Walnut,,₹400.00,LINK,No
Coffeeverse,Anugraha Slow Dried Naturals,Anugraha Estate,"Dindigul, Tamilnadu",1750,Single Estate,SLN - 795,,Natural,Light Medium,Black Tea • Cola • Malt,Dried the coffee for 45-50 days in the gentle sun,₹400.00,LINK,No
Coffeeverse,Sugar Fermented Naturals,Gungegiri Estate,"Chikkamagaluru, Karnataka",1340,Single Estate,SLN - 9,Osmotic,Natural,Light Medium,Black Raisin • Milk Chocolate • Yellow Plum,"Coffee cherries are fermented in an anaerobic environment with natural unrefined sugars, known as ""Gud"" in Hindi, for 26 hours. Following fermentation, the cherries undergo a slow drying process that lasts for 22 days",₹400.00,LINK,No
Coffeeverse,Kolli Berri Naturals,Kolli Beri Estate,"Chikkamagaluru, Karnataka",1032-1112,Single Estate,,Anaerobic,Natural,Light Medium,Banana • Bergamot • Dried Pineapple,"The cherries underwent an 84-hour anaerobic fermentation to enhance clarity and structure. They were then dried in two stages: seven days in shade followed by 25 days in sunLight, avoiding peak afternoon heat.",₹400.00,LINK,No
Coffeeverse,Sirangalli Honey,Sirangalli,"Kodagu, Karnataka",1350,Single Estate,Arabica,,Honey,,Apricot • Honeysuckle • Jaggery • Tender Coconut,,₹390.00,LINK,No
Coffeeverse,Amruthavarshini Naturals,Amruthavarshini Estate,"Chikkamagaluru, Karnataka",1000,Single Estate,Arabica,Anaerobic,Natural,Light Medium,Dates • Grapefruit • Milk Chocolate,,₹360.00,LINK,No
Coffeeverse,Yeast Carbonic Naturals,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,Arabica,Carbonic Inoculation,Natural,Light Medium,Craneberry • Molasses • Prune,,₹360.00,LINK,No
Coffeeverse,Riverdale Washed,Riverdale Estate,"Salem, Tamilnadu",1450,Single Estate,SLN - 9,Anaerobic Inoculation,Washed,Medium,Cinnamon • Nougat Toffee,,₹360.00,LINK,No
Coffeeverse,Komala Washed,Komala Estate,"Kodagu, Karnataka",900,Single Estate,Arabica,,Washed,Medium Dark,Dark Chocolate • Maple Syrup • Purple Grapes,,₹360.00,LINK,No
Coffeeverse,Ratnagiri Estate Washed,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,Arabica,,Washed,Medium,Dark Chocolate • Nutmeg • Tangerine,,₹320.00,LINK,No
Corridor Seven,Riverdale Estate Geisha,Riverdale Estate,"Salem, Tamilnadu",1450,Single Estate,Geisha,Carbonic,,Light,Honeysuckle • Jasmin Tea • Muskmelon,"With cherries boasting 30 brix and above, meticulously handpicked, and processed through carbonic maceration for 72 hours",900 for 75 grams,LINK,No
Corridor Seven,Melkodige Estate,Melkodige Estate,"Chikkamagaluru, Karnataka",1250,Single Estate,SLN - 9,Anaerobic Inoculation,Natural,Light,Pink Guava • Pomogrenate • Raisins,The cherries then undergo anaerobic fermentation in sealed drums for 72 hours,₹444.00,LINK,No
Corridor Seven,Salawara Estate Carbonic Maceration,Salawara Estate,"Hassan, Karnataka",1130,Single Estate,"SLN - 6, SLN - 795",Carbonic,Natural,Light,Orange Blossom • Plum • Watermelon,The cherries are sealed in stainless steel tanks and pressurized with carbon dioxide for 72 hours,₹428.00,LINK,No
Corridor Seven,Salawara Estate Bioreactor Naturals,Salawara Estate,"Hassan, Karnataka",1130,Single Estate,SLN - 795,Anaerobic Inoculation,Natural,Light,Cranberry • Dried Apple,The coffees were placed in the bioreactor for 72 hours,₹428.00,LINK,No
Corridor Seven,Salawara Estate Pichia Fermentation HSD,Salawara Estate,"Hassan, Karnataka",1130,Single Estate,"SLN - 6, SLN - 9",Carbonic Inoculation,Honey,Light,Green Apple • Prune,,₹420.00,LINK,No
Corridor Seven,Salawara Estate Naturals,Salawara Estate,"Hassan, Karnataka",1130,Single Estate,Chandragiri SLN - 13,Anaerobic Inoculation,Natural,Light,Grapefruit • Nectarine • Strawberry,,₹420.00,LINK,No
Corridor Seven,Salawara Estate Mosto Fermentation,Salawara Estate,"Hassan, Karnataka",1130,Single Estate,SLN - 795,Mosto,Natural,Light,Bergamot • Peach • Raisin,,₹420.00,LINK,No
Corridor Seven,Ratnagiri Estate Estate Washed,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,Catuai,,Washed,Medium,Brown Sugar • Green Apple • Plum,,₹328.00,LINK,No
Corridor Seven,Basankhan Estate,Basankhan Estate,"Chikkamagaluru, Karnataka",1450,Single Estate,SLN - 795,,Washed,Medium,Green Apple • Muskmelon,,₹328.00,LINK,No
